CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-01T14:36:13","18 SPCS","SYNCOM 1","1963-004A","EARTH","TEME","UTC","SGP4","2023-01-01T00:29:17.634336","1.16483871","0.07438610","29.3212","298.2011","160.7020","202.2988","0","U","553","999","22007","0.00000000000000","-0.00000117","0.0000000000000","38155.573","1236.223","34615.682","28939.194","PAYLOAD","","US","1963-02-14","AFETR","","3728487","221903472","0 SYNCOM 1","1   553U 63004A   23001.02034299 -.00000117  00000-0  00000+0 0  9990","2   553  29.3212 298.2011 0743861 160.7020 202.2988  1.16483871220073"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-01T17:55:23","18 SPCS","SYNCOM 1","1963-004A","EARTH","TEME","UTC","SGP4","2023-01-01T00:29:17.634336","1.16483871","0.07438610","29.3212","298.2011","160.7020","202.2988","0","U","553","999","2134","0.00000000000000","-0.00000117","0.0000000000000","38155.573","1236.223","34615.682","28939.194","PAYLOAD","","US","1963-02-14","AFETR","","3728759","221911300","0 SYNCOM 1","1 00553U 63004A   23001.02034299 -.00000117  00000-0  00000-0 0  9991","2 00553  29.3212 298.2011 0743861 160.7020 202.2988  1.16483871 21342"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-01T17:55:23","18 SPCS","DELTA 1 R/B","1964-047B","EARTH","TEME","UTC","SGP4","2023-01-01T02:38:56.622048","2.05093725","0.71089170","16.7734","335.5411","70.0395","349.7011","0","U","862","999","23223","0.00000000000000","0.00000166","0.0000000000000","26167.783","702.118","38392.107","1187.188","ROCKET BODY","MEDIUM","US","1964-08-19","AFETR","","3728759","221910309","0 DELTA 1 R/B","1 00862U 64047B   23001.11037757  .00000166  00000-0  00000-0 0  9997","2 00862  16.7734 335.5411 7108917  70.0395 349.7011  2.05093725232235"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-03T02:40:54","18 SPCS","DELTA 1 R/B","1964-047B","EARTH","TEME","UTC","SGP4","2023-01-02T13:45:00.764064","2.05094501","0.71087340","16.7728","335.1361","70.8017","349.5440","0","U","862","999","23226","0.00000000000000","0.00000214","0.0000000000000","26167.717","702.115","38391.516","1187.648","ROCKET BODY","MEDIUM","US","1964-08-19","AFETR","","3729873","222043515","0 DELTA 1 R/B","1 00862U 64047B   23002.57292551  .00000214  00000-0  00000-0 0  9997","2 00862  16.7728 335.1361 7108734  70.8017 349.5440  2.05094501232264"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-02T07:26:13","18 SPCS","DELTA 1 R/B","1964-047B","EARTH","TEME","UTC","SGP4","2023-01-02T02:02:59.551008","2.05094177","0.71087900","16.7731","335.2711","70.5478","349.5968","0","U","862","999","23255","0.00000000000000","0.00000206","0.0000000000000","26167.744","702.116","38391.709","1187.509","ROCKET BODY","MEDIUM","US","1964-08-19","AFETR","","3729167","221998402","0 DELTA 1 R/B","1   862U 64047B   23002.08541147  .00000206  00000-0  00000+0 0  9991","2   862  16.7731 335.2711 7108790  70.5478 349.5968  2.05094177232554"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-02T17:42:09","18 SPCS","DELTA 1 R/B","1964-047B","EARTH","TEME","UTC","SGP4","2023-01-02T02:02:59.551008","2.05094177","0.71087900","16.7731","335.2711","70.5478","349.5968","0","U","862","999","23225","0.00000000000000","0.00000206","0.0000000000000","26167.744","702.116","38391.709","1187.509","ROCKET BODY","MEDIUM","US","1964-08-19","AFETR","","3729583","222009472","0 DELTA 1 R/B","1 00862U 64047B   23002.08541147  .00000206  00000-0  00000-0 0  9992","2 00862  16.7731 335.2711 7108790  70.5478 349.5968  2.05094177232251"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-02T15:06:13","18 SPCS","TITAN 3C TRANSTAGE R/B","1965-108A","EARTH","TEME","UTC","SGP4","2023-01-02T11:00:49.091328","3.87813633","0.60812650","26.8602","53.0128","32.0924","353.5945","0","U","1863","999","31882","0.00165190000000","0.00003404","0.0000000000000","17112.750","371.312","21141.331","327.898","ROCKET BODY","LARGE","US","1965-12-21","AFETR","","3729427","222004177","0 TITAN 3C TRANSTAGE R/B","1  1863U 65108A   23002.45890152  .00003404  00000-0  16519-2 0  9994","2  1863  26.8602  53.0128 6081265  32.0924 353.5945  3.87813633318829"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-02T17:42:09","18 SPCS","TITAN 3C TRANSTAGE R/B","1965-108A","EARTH","TEME","UTC","SGP4","2023-01-02T11:00:49.091328","3.87813633","0.60812650","26.8602","53.0128","32.0924","353.5945","0","U","1863","999","31865","0.00165190000000","0.00003404","0.0000000000000","17112.750","371.312","21141.331","327.898","ROCKET BODY","LARGE","US","1965-12-21","AFETR","","3729583","222010227","0 TITAN 3C TRANSTAGE R/B","1 01863U 65108A   23002.45890152  .00003404  00000-0  16519-2 0  9994","2 01863  26.8602  53.0128 6081265  32.0924 353.5945  3.87813633318650"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-01T15:06:13","18 SPCS","TITAN 3C TRANSTAGE R/B","1965-108A","EARTH","TEME","UTC","SGP4","2023-01-01T10:15:48.989376","3.87806500","0.60814420","26.8597","53.7461","30.8686","353.8548","0","U","1863","999","31878","0.00153820000000","0.00003183","0.0000000000000","17112.959","371.319","21141.971","327.677","ROCKET BODY","LARGE","US","1965-12-21","AFETR","","3728563","221904881","0 TITAN 3C TRANSTAGE R/B","1  1863U 65108A   23001.42765034  .00003183  00000-0  15382-2 0  9991","2  1863  26.8597  53.7461 6081442  30.8686 353.8548  3.87806500318789"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2023-01-01T17:55:23","18 SPCS","TITAN 3C TRANSTAGE R/B","1965-108A","EARTH","TEME","UTC","SGP4","2023-01-01T10:15:48.989376","3.87806500","0.60814420","26.8597","53.7461","30.8686","353.8548","0","U","1863","999","31861","0.00153820000000","0.00003183","0.0000000000000","17112.959","371.319","21141.971","327.677","ROCKET BODY","LARGE","US","1965-12-21","AFETR","","3728759","221910575","0 TITAN 3C TRANSTAGE R/B","1 01863U 65108A   23001.42765034  .00003183  00000-0  15382-2 0  9991","2 01863  26.8597  53.7461 6081442  30.8686 353.8548  3.87806500318611"
